tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-sex,attachment-type,manipulation-type,tag-comments,tag-manufacturer-name,tag-readout-method
YL73,YL73,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
OR156,OR156,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL7,YL7,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL58,YL58,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL48,YL48,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR99,GR99,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR191,GR191,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR161,GR161,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR120,GR120,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL34,YL34,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR135,GR135,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL64,YL64,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
BL622,BL622,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL77,YL77,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR149,GR149,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL74,YL74,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR150,GR150,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL97,YL97,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL92,YL92,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL69,YL69,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR158,GR158,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GP1,GP1,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL15,YL15,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR181,GR181,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR179,GR179,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL13,YL13,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL42,YL42,Cervus elaphus,,2004-01-15 01:03:00.000,f,collar,none,GPS; VHF,Lotek,other-wireless
GR171,GR171,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL65,YL65,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR169,GR169,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR133,GR133,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL10,YL10,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
OR14,OR14,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL30,YL30,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL3,YL3,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL12,YL12,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL72,YL72,Cervus elaphus,,,f,collar,none,GPS,Lotek,other-wireless
YL63,YL63,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL41,YL41,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR166,GR166,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL60,YL60,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL37,YL37,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL50,YL50,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR98,GR98,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR119,GR119,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL14,YL14,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL45,YL45,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR185,GR185,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL203,BL203,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL25,YL25,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL54,YL54,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL56,YL56,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR104,GR104,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL21,YL21,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL208,BL208,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL68,YL68,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GP2,GP2,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
BL205,BL205,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL96,YL96,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL94,YL94,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR172,GR172,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR124,GR124,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR129,GR129,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL88,YL88,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR122,GR122,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL9,YL9,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR165,GR165,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR103,GR103,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL26,YL26,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL8,YL8,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL29,YL29,Cervus elaphus,,2004-01-14 23:03:00.000,f,collar,none,GPS; VHF,Lotek,other-wireless
GR173,GR173,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL2,YL2,Cervus elaphus,,2004-01-14 19:03:00.000,f,collar,none,GPS; VHF,Lotek,other-wireless
GR183,GR183,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL40,YL40,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL24,YL24,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL70,YL70,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL207,BL207,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL61,YL61,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL55,YL55,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL91,YL91,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL89,YL89,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR186,GR186,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR163,GR163,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL79,YL79,Cervus elaphus,,,f,collar,none,GPS,Lotek,other-wireless
GR175,GR175,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL87,YL87,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR137,GR137,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR196,GR196,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL31,YL31,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR192,GR192,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL95,YL95,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL20,YL20,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL90,YL90,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR167,GR167,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL6,YL6,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL28,YL28,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR193,GR193,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
BL212,BL212,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL27,YL27,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL59,YL59,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL35,YL35,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR168,GR168,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR101,GR101,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL52,YL52,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR131,GR131,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL201,BL201,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL62,YL62,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL78,YL78,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL4,YL4,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL32,YL32,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL39,YL39,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL47,YL47,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR177,GR177,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL93,YL93,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
GR184,GR184,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL67,YL67,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL43,YL43,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR100,GR100,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR154,GR154,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL5,YL5,Cervus elaphus,,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL36,YL36,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL211,BL211,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
GR106,GR106,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL38,YL38,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
YL1,YL1,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
BL206,BL206,Cervus elaphus,,,f,collar,none,VHF,Lotek,other-wireless
4049,4049,Cervus elaphus,2001-12-13 07:01:00.000,,f,collar,none,GPS,Lotek,other-wireless
GR102,GR102,Cervus elaphus,2002-02-02 18:30:00.000,,f,collar,none,VHF,Lotek,other-wireless
GR182,GR182,Cervus elaphus,2002-04-05 07:01:00.000,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL80,YL80,Cervus elaphus,2004-02-19 04:00:00.000,,f,collar,none,GPS; VHF,Lotek,other-wireless
YL86,YL86,Cervus elaphus,2004-02-19 17:00:00.000,,f,collar,none,VHF,Lotek,other-wireless
